Name  ,Type  ,Power  ,Accuracy,Effect  
Vacuum Wave,fighting ,40,100,User goes first. 
Vicegrip,normal ,55,100,No Added Effect
Vine Whip,grass ,35,100,No Added Effect
Vital Throw,fighting ,70,1000,"User attacks last, but cannot miss. "
Volt Tackle,electric ,120,100,User receives recoil damage. 
Wake-up Slap,fighting ,60,100,"Power doubles if used on a sleeping opponent, but wakes it up. "
Water Gun,water ,40,100,No Added Effect
Water Pulse,water ,60,100,May cause confusion. 
Waterfall,water ,80,100,May cause flinching. 
Weather Ball,normal ,50,100,Move's power and type changes with the weather. 
Whirlpool,water ,15,70,"Damages opponent for 2-5 turns, opponent cannot switch/escape. "
Whirlwind,normal ,-1,100,"In battles, the opponent switches. In the wild, the Pokemon runs. "
Will-o-wisp,fire ,-1,75,"Causes a burn, if it hits. "
Wing Attack,flying ,60,100,No Added Effect
Wish,normal ,-1,-100,The user recovers HP in the following turn. 
Withdraw,water ,-1,-100,Increases the user's Defense by one stage. 
Wood Hammer,grass ,120,100,User receives recoil damage. 
Worry Seed,grass ,-1,100,Changes the opponent's Ability to Insomnia. 
Wrap,normal ,15,85,"Damages opponent for 2-5 turns, opponent cannot switch/escape. "
Wring Out,normal ,-1,100,"The higher the opponent's HP, the higher the damage. "
X-Scissor,bug ,80,100,No Added Effect
Yawn,normal ,-1,-100,Puts the opponent to sleep in the following turn. 
Zap Cannon,electric ,120,50,"Guaranteed to paralyze target, if it hits. "
Zen Headbutt,psychic ,80,90,May cause flinching.
